Index,lat,lon,Date,OLR_w/m2,co2_conc,avg_temp_kelvin
1,20,70,16/1/2010,316.7965,387.651,298.386
2,20,72.5,16/1/2010,318.219,386.994,297.543
3,20,75,16/1/2010,319.063,386.437,293.841
4,22,70,16/1/2010,316.3285,388.946,294.664
5,22,72.5,16/1/2010,314.906,386.007,295.555
6,22,75,16/1/2010,309.5,387.049,292.521
7,24,70,16/1/2010,315.1405,388.533,292.72
8,24,72.5,16/1/2010,322.094,386.43,293.383
9,24,75,16/1/2010,301.6875,388.734,291.53
10,20,70,15/2/2010,323.9065,388.914,298.109
11,20,72.5,15/2/2010,322.3905,387.977,297.551
12,20,75,15/2/2010,322.4685,387.025,298.31
13,22,70,15/2/2010,324.344,389.473,295.769
14,22,72.5,15/2/2010,319.406,388.442,296.985
15,22,75,15/2/2010,309.25,388.69,297.166
16,24,70,15/2/2010,321.797,390.307,295.108
17,24,72.5,15/2/2010,331.437,388.844,295.619
18,24,75,15/2/2010,298.0785,388.832,294.801
19,20,70,16/3/2010,349.672,388.719,294.801
20,20,72.5,16/3/2010,347.2815,389.192,299.991
21,20,75,16/3/2010,339.7655,389.237,302.396
22,22,70,16/3/2010,349.172,388.939,301.11
23,22,72.5,16/3/2010,338.641,388.26,302.355
24,22,75,16/3/2010,319.7655,389.239,302.709
25,24,70,16/3/2010,347.5625,388.952,301.991
26,24,72.5,16/3/2010,350.0155,389.6,301.687
27,24,75,16/3/2010,304.156,389.461,301.018
28,20,70,16/4/2010,355.578,389.755,301.457
29,20,72.5,16/4/2010,358.5935,389.138,302.006
30,20,75,16/4/2010,346.6565,389.112,305.399
31,22,70,16/4/2010,349.9375,391.218,304.586
32,22,72.5,16/4/2010,344.5155,389.244,305.92
33,22,75,16/4/2010,322.641,389.455,306.257
34,24,70,16/4/2010,349.4685,390.377,305.796
35,24,72.5,16/4/2010,348.1095,389.832,306.081
36,24,75,16/4/2010,303.484,389.643,305.53
37,20,70,16/5/2010,354.172,391.767,302.626
38,20,72.5,16/5/2010,352.4065,391.567,303.134
39,20,75,16/5/2010,342.8905,392.067,306.479
40,22,70,16/5/2010,349.859,391.324,305.821
41,22,72.5,16/5/2010,347.172,390.467,307.752
42,22,75,16/5/2010,324.3905,391.496,308.182
43,24,70,16/5/2010,349.625,391.11,307.828
44,24,72.5,16/5/2010,352.047,391.074,308.559
45,24,75,16/5/2010,313.3435,391.46,308.343
46,20,70,16/6/2010,327.2035,390.203,303.044
47,20,72.5,16/6/2010,309.375,388.945,302.878
48,20,75,16/6/2010,296.828,390.404,301.662
49,22,70,16/6/2010,322.922,394.6630477,304.322
50,22,72.5,16/6/2010,305.563,391.33,305.255
51,22,75,16/6/2010,286.8285,391.583,304.527
52,24,70,16/6/2010,328.781,392.616,306.653
53,24,72.5,16/6/2010,309.375,391.914,307.119
54,24,75,16/6/2010,286.297,391.144,306.348
55,20,70,16/7/2010,291.297,389.191,302.029
56,20,72.5,16/7/2010,285.8125,385.45,301.576
57,20,75,16/7/2010,281.5315,388.403,298.87
58,22,70,16/7/2010,288.6565,389.51,301.56
59,22,72.5,16/7/2010,285.203,389.039,302.188
60,22,75,16/7/2010,279.8595,391.947,300.599
61,24,70,16/7/2010,292.4535,388.823,304.263
62,24,72.5,16/7/2010,287.4375,390.773,302.336
63,24,75,16/7/2010,281.047,389.716,301.193
64,20,70,16/8/2010,284.1405,388.353,301.177
65,20,72.5,16/8/2010,281.703,388.974,301.046
66,20,75,16/8/2010,283.141,389.816,298.204
67,22,70,16/8/2010,284.75,388.394,300.285
68,22,72.5,16/8/2010,284.141,388.204,301.178
69,22,75,16/8/2010,280.688,389.658,299.555
70,24,70,16/8/2010,287.7185,390.01,302.02
71,24,72.5,16/8/2010,285.641,390.554,300.444
72,24,75,16/8/2010,281.7185,388.869,299.663
73,20,70,16/9/2010,298.4065,388.514,301.238
74,20,72.5,16/9/2010,292.0625,388.576,301.311
75,20,75,16/9/2010,286.703,388.465,297.97
76,22,70,16/9/2010,300.453,388.943,299.891
77,22,72.5,16/9/2010,294.156,389.239,301.059
78,22,75,16/9/2010,283.4215,389.118,298.884
79,24,70,16/9/2010,307.6095,389.134,301.122
80,24,72.5,16/9/2010,299.4845,387.708,299.737
81,24,75,16/9/2010,283.547,388.633,298.389
82,20,70,16/10/2010,323.281,388.661,302.031
83,20,72.5,16/10/2010,316.656,387.926,301.774
84,20,75,16/10/2010,304.8285,388.551,297.081
85,22,70,16/10/2010,324.141,388.299,300.164
86,22,72.5,16/10/2010,314.297,388.957,300.995
87,22,75,16/10/2010,300.4065,388.106,298.272
88,24,70,16/10/2010,330.8905,389.208,301.682
89,24,72.5,16/10/2010,320.4215,389.64,299.181
90,24,75,16/10/2010,300.219,388.965,297.79
91,20,70,16/11/2010,306.594,388.888,301.123
92,20,72.5,16/11/2010,306.2815,389.395,300.694
93,20,75,16/11/2010,295.953,387.919,296.252
94,22,70,16/11/2010,308.4065,389.175,296.754
95,22,72.5,16/11/2010,308.2815,388.487,298.365
96,22,75,16/11/2010,292.75,388.188,296.568
97,24,70,16/11/2010,313.0155,388.355,296.828
98,24,72.5,16/11/2010,309.5625,388.187,296.477
99,24,75,16/11/2010,293.0785,388.852,295.023
100,20,70,16/12/2010,313.734,389.415,297.947
101,20,72.5,16/12/2010,318.703,389.787,297.44
102,20,75,16/12/2010,319.328,388.733,292.03
103,22,70,16/12/2010,313.2345,389.97,297.947
104,22,72.5,16/12/2010,318.2655,390.079,293.383
105,22,75,16/12/2010,311.672,389.454,292.129
106,24,70,16/12/2010,317.0935,390.32,290.802
107,24,72.5,16/12/2010,321.8125,389.913,291.413
108,24,75,16/12/2010,307.4685,389.648,290.01
109,20,70,16/1/2011,306.6875,390.946,296.92
110,20,72.5,16/1/2011,316.1405,390.431,296.025
111,20,75,16/1/2011,325.078,389.255,292.774
112,22,70,16/1/2011,307.047,389.92,291.494
113,22,72.5,16/1/2011,313.234,389.323,292.28
114,22,75,16/1/2011,314.375,388.835,292.037
115,24,70,16/1/2011,306.3435,389.84,290.692
116,24,72.5,16/1/2011,316.0315,389.539,290.489
117,24,75,16/1/2011,303.906,388.926,289.006
118,20,70,15/2/2011,315.625,391.193,297.483
119,20,72.5,15/2/2011,324.0315,390.933,297.232
120,20,75,15/2/2011,333.3435,389.335,296.801
121,22,70,15/2/2011,314.4845,391.363,295.559
122,22,72.5,15/2/2011,321.1565,390.889,296.244
123,22,75,15/2/2011,320.453,389.983,296.671
124,24,70,15/2/2011,313.922,390.802,295.056
125,24,72.5,15/2/2011,324.0935,391.717,294.608
126,24,75,15/2/2011,307.875,391.242,293.858
127,20,70,16/3/2011,340.406,391.506,298.972
128,20,72.5,16/3/2011,347.969,390.613,299.625
129,20,75,16/3/2011,346.187,389.656,301.178
130,22,70,16/3/2011,337.7345,390.514,300.184
131,22,72.5,16/3/2011,338.5155,389.585,300.876
132,22,75,16/3/2011,328.813,389.853,301.175
133,24,70,16/3/2011,336.5155,391.626,300.558
134,24,72.5,16/3/2011,342.5,390.515,300.436
135,24,75,16/3/2011,312.375,390.045,299.246
136,20,70,16/4/2011,340.328,392.127,300.31
137,20,72.5,16/4/2011,341.7185,392.17,301.271
138,20,75,16/4/2011,340.844,390.993,304.551
139,22,70,16/4/2011,337.656,391.351,303.245
140,22,72.5,16/4/2011,333.406,390.877,304.662
141,22,75,16/4/2011,320.8905,391.04,305.524
142,24,70,16/4/2011,340.047,391.799,304.532
143,24,72.5,16/4/2011,338.812,391.378,304.842
144,24,75,16/4/2011,304.4845,392.146,303.93
145,20,70,16/5/2011,349.734,393.773,301.733
146,20,72.5,16/5/2011,345.969,394.37,302.126
147,20,75,16/5/2011,334.891,393.237,305.208
148,22,70,16/5/2011,344.8595,394.2,304.532
149,22,72.5,16/5/2011,339.156,393.219,305.993
150,22,75,16/5/2011,319.875,392.654,306.711
151,24,70,16/5/2011,342.672,392.951,306.22
152,24,72.5,16/5/2011,341.797,393.487,307
153,24,75,16/5/2011,308.297,393.006,307.08
154,20,70,16/6/2011,325.0315,392.121,302.227
155,20,72.5,16/6/2011,309.594,392.239,302.439
156,20,75,16/6/2011,294.9065,394.6630477,301.127
157,22,70,16/6/2011,326.125,392.314,304.687
158,22,72.5,16/6/2011,310.0785,394.6630477,305.611
159,22,75,16/6/2011,287.094,390.598,304.123
160,24,70,16/6/2011,325.5625,392.772,307.149
161,24,72.5,16/6/2011,313.703,392.936,307.675
162,24,75,16/6/2011,289.25,394.6630477,305.345
163,20,70,16/7/2011,287.234,392.705,301.258
164,20,72.5,16/7/2011,284.6405,390.556,301.091
165,20,75,16/7/2011,284.1405,390.38,299.086
166,22,70,16/7/2011,289.125,389.247,301.684
167,22,72.5,16/7/2011,287.2035,391.872,301.924
168,22,75,16/7/2011,279.547,394.6630477,300.232
169,24,70,16/7/2011,294.3905,390.678,304.997
170,24,72.5,16/7/2011,290.4845,390.791,302.605
171,24,75,16/7/2011,282.172,392.31,300.341
172,20,70,16/8/2011,282.5155,390.741,300.818
173,20,72.5,16/8/2011,280.4065,389.263,300.602
174,20,75,16/8/2011,280.953,390.401,298.383
175,22,70,16/8/2011,284.219,391.184,300.385
176,22,72.5,16/8/2011,281.875,391.417,300.922
177,22,75,16/8/2011,277.4845,390.794,299.128
178,24,70,16/8/2011,291,390.738,303.013
179,24,72.5,16/8/2011,283.8435,392.506,300.73
180,24,75,16/8/2011,280.141,393.115,299.164
181,20,70,16/9/2011,297.9215,389.875,300.676
182,20,72.5,16/9/2011,291.7185,389.925,300.712
183,20,75,16/9/2011,290.375,389.234,297.543
184,22,70,16/9/2011,297.906,390.17,299.53
185,22,72.5,16/9/2011,296.109,390.521,300.643
186,22,75,16/9/2011,288.2345,390.215,298.349
187,24,70,16/9/2011,306.9065,390.229,300.449
188,24,72.5,16/9/2011,302.6875,389.943,299.254
189,24,75,16/9/2011,291.0315,390.428,298.126
190,20,70,16/10/2011,326.078,390.396,301.89
191,20,72.5,16/10/2011,322.828,390.321,301.389
192,20,75,16/10/2011,308.8595,389.928,296.73
193,22,70,16/10/2011,323.0155,389.995,299.705
194,22,72.5,16/10/2011,319.156,390.194,300.685
195,22,75,16/10/2011,302.0625,391.132,297.585
196,24,70,16/10/2011,327.172,390.195,300.522
197,24,72.5,16/10/2011,322.359,390.51,299.322
198,24,75,16/10/2011,300.734,391.356,296.913
199,20,70,16/11/2011,319.281,390.956,301.39
200,20,72.5,16/11/2011,325.8595,390.232,300.381
201,20,75,16/11/2011,323.9535,391.012,295.562
202,22,70,16/11/2011,318.2655,390.354,298.693
203,22,72.5,16/11/2011,320.031,390.256,299.215
204,22,75,16/11/2011,314.578,389.514,296.13
205,24,70,16/11/2011,322.1565,389.657,298.866
206,24,72.5,16/11/2011,319,389.656,298.126
207,24,75,16/11/2011,307.375,390.468,295.23
208,20,70,16/12/2011,313.094,391.472,299.319
209,20,72.5,16/12/2011,322.75,391.048,298.667
210,20,75,16/12/2011,332.375,391.378,295.22
211,22,70,16/12/2011,316.547,392.463,294.138
212,22,72.5,16/12/2011,320.1405,390.555,295.152
213,22,75,16/12/2011,321.172,391.661,294.601
214,24,70,16/12/2011,317.078,390.738,292.421
215,24,72.5,16/12/2011,323.359,391.603,293.075
216,24,75,16/12/2011,312.484,391.875,291.655
217,20,70,16/1/2012,303.422,391.259,296.973
218,20,72.5,16/1/2012,313.2815,390.741,295.81
219,20,75,16/1/2012,327.062,391.119,293.788
220,22,70,16/1/2012,307.094,390.002,292.218
221,22,72.5,16/1/2012,312.0315,390.591,292.845
222,22,75,16/1/2012,316.047,391.042,292.504
223,24,70,16/1/2012,307.172,389.603,290.724
224,24,72.5,16/1/2012,315.844,390.641,290.856
225,24,75,16/1/2012,306.922,390.511,289.563
226,20,70,15/2/2012,311.4845,393.004,296.903
227,20,72.5,15/2/2012,323.953,391.425,296.092
228,20,75,15/2/2012,337.2345,391.393,296.991
229,22,70,15/2/2012,313.422,392.15,294.104
230,22,72.5,15/2/2012,317.625,392.004,295.189
231,22,75,15/2/2012,319.937,391.215,295.508
232,24,70,15/2/2012,311,392.484,292.507
233,24,72.5,15/2/2012,324.453,391.124,293.279
234,24,75,15/2/2012,305,391.726,292.452
235,20,70,16/3/2012,343.703,394.562,297.58
236,20,72.5,16/3/2012,354.1565,393.166,298
237,20,75,16/3/2012,358.656,392.584,300.151
238,22,70,16/3/2012,341.8905,393.491,298.787
239,22,72.5,16/3/2012,342.547,392.5,299.912
240,22,75,16/3/2012,334.6095,392.353,299.885
241,24,70,16/3/2012,335.672,393.431,299.336
242,24,72.5,16/3/2012,349.844,393.226,299.044
243,24,75,16/3/2012,313.078,390.922,298.133
244,20,70,16/4/2012,335.922,394.181,299.914
245,20,72.5,16/4/2012,343.828,393.797,300.729
246,20,75,16/4/2012,340.172,393.083,304.463
247,22,70,16/4/2012,331.1875,393.439,303.016
248,22,72.5,16/4/2012,332.797,393.228,304.55
249,22,75,16/4/2012,319.75,392.637,305.229
250,24,70,16/4/2012,328.656,393.814,304.238
251,24,72.5,16/4/2012,337.563,394.705,304.488
252,24,75,16/4/2012,301.5315,393.397,304.016
253,20,70,16/5/2012,342.5625,395.338,301.039
254,20,72.5,16/5/2012,342.125,395.018,300.953
255,20,75,16/5/2012,344,395.022,305.029
256,22,70,16/5/2012,341.3125,396.208,304.211
257,22,72.5,16/5/2012,339.6565,394.384,305.622
258,22,75,16/5/2012,325.344,394.402,306.371
259,24,70,16/5/2012,342.047,393.464,305.783
260,24,72.5,16/5/2012,344.406,393.848,306.873
261,24,75,16/5/2012,309.359,394.101,306.688
262,20,70,16/6/2012,320.8905,398.926,302.255
263,20,72.5,16/6/2012,309.203,395.085,302.303
264,20,75,16/6/2012,302.9535,395.61,302.118
265,22,70,16/6/2012,322.375,397.849,304.626
266,22,72.5,16/6/2012,309.1875,392.388,304.737
267,22,75,16/6/2012,292.203,394.59,304.124
268,24,70,16/6/2012,324.4065,393.233,306.717
269,24,72.5,16/6/2012,316.078,396.24,306.933
270,24,75,16/6/2012,290.063,395.079,305.708
271,20,70,16/7/2012,290.906,393.701,301.778
272,20,72.5,16/7/2012,285.6405,391.277,301.539
273,20,75,16/7/2012,282.6405,394.6630477,298.982
274,22,70,16/7/2012,292.812,390.543,302.744
275,22,72.5,16/7/2012,288.4685,394.625,303.34
276,22,75,16/7/2012,277.7345,393.038,300.563
277,24,70,16/7/2012,301.344,395.376,306.103
278,24,72.5,16/7/2012,293.6875,392.907,304.379
279,24,75,16/7/2012,281.422,393.476,300.766
280,20,70,16/8/2012,281.578,391.932,300.825
281,20,72.5,16/8/2012,278.8125,399.313,300.704
282,20,75,16/8/2012,284.4375,392.045,298.739
283,22,70,16/8/2012,284.328,391.046,302.277
284,22,72.5,16/8/2012,281.984,392.459,302.372
285,22,75,16/8/2012,279.984,390.745,299.098
286,24,70,16/8/2012,288.578,391.068,305.177
287,24,72.5,16/8/2012,285.2655,393.064,301.804
288,24,75,16/8/2012,283.4845,393.516,299.014
289,20,70,16/9/2012,294.078,393.152,300.771
290,20,72.5,16/9/2012,289.328,391.069,300.937
291,20,75,16/9/2012,289.7815,392.53,297.975
292,22,70,16/9/2012,296.797,393.069,300.416
293,22,72.5,16/9/2012,294.656,392.253,301.052
294,22,75,16/9/2012,287.2655,391.384,298.668
295,24,70,16/9/2012,304.578,392.065,302.386
296,24,72.5,16/9/2012,299.7345,392.258,299.996
297,24,75,16/9/2012,288.6565,392.938,298.48
298,20,70,16/10/2012,320.703,393.309,301.776
299,20,72.5,16/10/2012,319.0625,392.271,301.679
300,20,75,16/10/2012,311.422,392.744,297.877
301,22,70,16/10/2012,320.25,391.831,300.404
302,22,72.5,16/10/2012,317.172,391.498,301.022
303,22,75,16/10/2012,302.5155,392.222,298.068
304,24,70,16/10/2012,330.875,392.838,300.426
305,24,72.5,16/10/2012,326.969,392.02,299.392
306,24,75,16/10/2012,302.4375,392.376,296.697
307,20,70,16/11/2012,318.031,392.756,300.658
308,20,72.5,16/11/2012,323.8125,392.263,299.304
309,20,75,16/11/2012,322.2185,391.99,296.161
310,22,70,16/11/2012,318.172,393.395,298.165
311,22,72.5,16/11/2012,321.875,392.449,297.41
312,22,75,16/11/2012,312.3905,393.054,294.57
313,24,70,16/11/2012,322.4375,392.693,297.517
314,24,72.5,16/11/2012,328.562,392.31,295.642
315,24,75,16/11/2012,307.125,392.742,292.1
316,20,70,16/12/2012,307.4845,394.492,298.958
317,20,72.5,16/12/2012,315.2345,393.868,298.311
318,20,75,16/12/2012,322.7345,393.207,296.11
319,22,70,16/12/2012,308.5,391.833,296.289
320,22,72.5,16/12/2012,311.7655,392.974,296.451
321,22,75,16/12/2012,310.078,393.245,294.974
322,24,70,16/12/2012,308.1095,392.232,293.66
323,24,72.5,16/12/2012,317.4535,393.303,293.998
324,24,75,16/12/2012,302.1405,393.429,291.282
325,20,70,16/1/2013,304.328,395.181,297.471
326,20,72.5,16/1/2013,311.047,395.083,296.526
327,20,75,16/1/2013,325.547,393.425,295.407
328,22,70,16/1/2013,308.453,393.261,293.126
329,22,72.5,16/1/2013,311.406,394.528,293.884
330,22,75,16/1/2013,313.484,393.834,293.138
331,24,70,16/1/2013,307.703,395.345,291.033
332,24,72.5,16/1/2013,321.375,393.626,291.572
333,24,75,16/1/2013,305.4685,393.743,289.292
334,20,70,15/2/2013,308.2345,395.604,297.819
335,20,72.5,15/2/2013,314.5465,394.152,297.322
336,20,75,15/2/2013,328.703,393.039,298.199
337,22,70,15/2/2013,312.8595,396.404,296.058
338,22,72.5,15/2/2013,316.0465,394.19,297.304
339,22,75,15/2/2013,314.1095,393.45,297.015
340,24,70,15/2/2013,316.3435,396.132,294.359
341,24,72.5,15/2/2013,327.187,394.313,295.188
342,24,75,15/2/2013,303.6715,395.087,293.452
343,20,70,16/3/2013,333.375,397.148,299.129
344,20,72.5,16/3/2013,340.297,394.763,299.628
345,20,75,16/3/2013,347.141,394.829,301.069
346,22,70,16/3/2013,336.2655,397.576,300.15
347,22,72.5,16/3/2013,334.1875,395.198,301.006
